GeneID	padj	pvalue	lfcSE	stat	log2FoldChange	baseMean	Symbol	Description
3915	7.83e-04	5.06e-06	0.4999	4.56244	2.2806605	268.33	LAMC1	laminin subunit gamma 1
5806	7.83e-04	5.11e-06	0.5847	4.5601748	2.6663682	322.35	PTX3	pentraxin 3
170575	7.83e-04	5.21e-06	0.2387	-4.556015	-1.0874819	980.98	GIMAP1	GTPase, IMAP family member 1
80139	7.83e-04	5.10e-06	0.7653	-4.5604537	-3.4899912	74.4	ZNF703	zinc finger protein 703
915	7.83e-04	5.14e-06	0.5207	-4.5591462	-2.3741185	1537.26	CD3D	CD3 delta subunit of T-cell receptor complex
102724971	7.83e-04	5.09e-06	0.8017	4.5612397	3.6567556	73.14	LOC102724971	putative V-set and immunoglobulin domain-containing-like protein IGHV4OR15-8
10871	7.83e-04	5.08e-06	0.2836	-4.5615176	-1.2936209	744.83	CD300C	CD300c molecule
28804	7.83e-04	5.18e-06	0.7736	4.5572169	3.5256117	172.33	IGLV3-9	immunoglobulin lambda variable 3-9
4610	8.10e-04	5.44e-06	0.4008	-4.5471686	-1.8226594	459.29	MYCL	MYCL proto-oncogene, bHLH transcription factor
10124	8.34e-04	5.64e-06	0.3269	4.5393004	1.4838007	633.97	ARL4A	ADP ribosylation factor like GTPase 4A
920	8.45e-04	5.77e-06	0.4258	-4.5345718	-1.9306744	2811.87	CD4	CD4 molecule
105377068	8.64e-04	5.95e-06	0.7943	4.5281357	3.5965773	254.76	LINC02009	long intergenic non-protein coding RNA 2009
6518	8.66e-04	6.05e-06	0.6396	4.524711	2.8938566	344.12	SLC2A5	solute carrier family 2 member 5
7253	8.66e-04	6.06e-06	0.7779	4.5241417	3.5195295	23.72	TSHR	thyroid stimulating hormone receptor
221476	9.48e-04	6.69e-06	0.619	-4.5033234	-2.78761	60.84	PI16	peptidase inhibitor 16
84078	9.49e-04	6.75e-06	0.4085	4.5013772	1.8389196	2007.03	KBTBD7	kelch repeat and BTB domain containing 7
6097	1.00e-03	7.20e-06	0.5112	-4.487811	-2.294079	59.93	RORC	RAR related orphan receptor C
55022	1.00e-03	7.34e-06	0.656	-4.4835227	-2.9410361	123.22	PID1	phosphotyrosine interaction domain containing 1
200772	1.00e-03	7.24e-06	1.701	-4.4865021	-7.6315957	81.04	UICLM	up-regulated in colorectal cancer liver metastasis
9148	1.00e-03	7.34e-06	0.7434	-4.483724	-3.3333901	79.65	NEURL1	neuralized E3 ubiquitin protein ligase 1
6790	1.04e-03	7.69e-06	0.3417	4.4736891	1.528643	115.2	AURKA	aurora kinase A
83903	1.12e-03	8.36e-06	0.55	4.4556914	2.4505987	31.59	HASPIN	histone H3 associated protein kinase
28891	1.12e-03	8.43e-06	0.8049	4.4539861	3.5847941	29.1	IGKV1D-43	immunoglobulin kappa variable 1D-43
102465495	1.15e-03	8.74e-06	0.4564	4.4463206	2.0290994	9.84	MIR6824	microRNA 6824
10112	1.16e-03	8.92e-06	0.446	4.4417439	1.9810506	81.69	KIF20A	kinesin family member 20A
28603	1.16e-03	8.91e-06	0.9648	-4.4421313	-4.2858724	10.06	TRBV6-4	T cell receptor beta variable 6-4
